2016-17,name,2017-18,2018-19,2019-20_x,2019-20_y,cross_season_id
1.0,David Ospina,1.0,,,,8ef44863-9e88-4bd3-8be5-e0091ee60252
2.0,Petr Cech,2.0,1.0,,,d8b3b25d-8844-4db0-a8e4-85648e922781
3.0,Laurent Koscielny,4.0,3.0,7.0,7.0,a1de901e-c8c1-48b1-b2e6-2dbf319037db
4.0,Per Mertesacker,5.0,,,,34f6b719-3dfa-4c33-a190-39d184c4be85
5.0,Gabriel Armando de Abreu,6.0,,,,47bcc7e0-4fc9-4848-b5c7-8c5da86ab8c9
6.0,Héctor Bellerín,7.0,4.0,2.0,2.0,cde11cec-c4f4-4ebf-9dee-be4a97732e06
7.0,Kieran Gibbs,8.0,,,,e8899a21-171f-4f85-9d97-eebfaf00d8af
8.0,Mathieu Debuchy,564.0,,,,3fd474fd-ba33-4a6f-abd4-c561950ac69d
9.0,Carl Jenkinson,9.0,581.0,9.0,9.0,95a3d65c-e44b-4860-a511-df70997bce08
10.0,Nacho Monreal,10.0,5.0,6.0,6.0,755a367a-b724-4ea9-9788-8c45e75f467f
11.0,Calum Chambers,480.0,9.0,,467.0,ae3799d3-2b80-47b6-aae3-d1da0e172c65
12.0,Alexis Sánchez,14.0,295.0,240.0,240.0,1130fe35-7a79-42a9-9991-4d0a5f1ed516
13.0,Theo Walcott,15.0,164.0,153.0,153.0,e1902489-aead-494d-8bdd-54dbd4b74c6a
14.0,Mesut Özil,16.0,13.0,15.0,15.0,8c2cfe97-ace2-4f41-b63a-114f04b7e157
15.0,Santiago Cazorla,17.0,,,,d6bb9ba6-0a63-4edf-b619-2084bb989c48
16.0,Aaron Ramsey,18.0,14.0,,,e868d869-b256-49ec-bd01-140858e904ca
17.0,Jack Wilshere,24.0,447.0,394.0,394.0,1b8501a4-072d-4848-9be8-e1f2e7d3dde5
18.0,Alex Oxlade-Chamberlain,19.0,248.0,193.0,193.0,722a488e-93e3-4897-acef-0e5a77fd7574
19.0,Serge Gnabry,,,,,de6baaa0-9c46-48f4-a043-21ca506918fe
20.0,Francis Coquelin,20.0,,,,c1df554e-4b2f-4ab3-9d40-c0d15649f464
21.0,Alex Iwobi,21.0,15.0,17.0,17.0,1b699fdb-543c-4aad-a796-c3f2ea46c1ba
22.0,Mohamed Elneny,22.0,16.0,20.0,20.0,04b099b2-ca9c-4f9d-8dff-c08067703956
23.0,Joel Campbell,,,,,0ca8e0ed-4534-4038-9f35-bdffa5f8a5db
24.0,Granit Xhaka,23.0,17.0,18.0,18.0,d7d8b4d4-64b0-4084-8855-534effb67eee
25.0,Olivier Giroud,25.0,133.0,110.0,110.0,6f96c1a7-8a28-483e-b17c-de7978a189ff
26.0,Danny Welbeck,26.0,21.0,,,007afbba-f3ea-4bac-bc1d-4762b7766232
27.0,Yaya Sanogo,,,,,e4349fb9-c326-4f53-b09f-dd46874e5861
28.0,Takuma Asano,,,,,f86a6839-b6cf-4480-a4f7-84762901d7d0
29.0,Artur Boruc,30.0,25.0,73.0,73.0,04a90132-9e9f-4fe5-9c94-1269f38a3d7c
30.0,Adam Federici,31.0,,,,bd6cb4be-2de3-49bd-88ec-b37e49473be4
31.0,Simon Francis,32.0,26.0,62.0,62.0,1755ac05-fcd7-4e29-9d4b-7326d2940405
32.0,Steve Cook,33.0,27.0,58.0,58.0,7c9646fb-513a-4cd4-b821-ed2e014b2e7f
33.0,Charlie Daniels,34.0,28.0,60.0,60.0,2455ae2e-42df-48ed-8bed-f17b0d5e029a
34.0,Adam Smith,35.0,29.0,63.0,63.0,d4154723-0a41-473a-80d4-9ed48956b8a5
35.0,Tyrone Mings,36.0,30.0,,445.0,35f34665-79c7-45ed-b911-7c3bac17a90b
36.0,Nathan Aké,38.0,31.0,59.0,59.0,3e7e149b-3948-4d52-884d-a1dea2026582
37.0,Harry Arter,39.0,33.0,,,974b4c50-6281-48be-865a-ea9290743ae4
38.0,Marc Pugh,40.0,34.0,,,48b83772-c19a-43ac-b9e0-27076d4c970b
39.0,Andrew Surman,41.0,35.0,80.0,80.0,e1a3ffe7-2b78-4fcb-a6f4-937bbb8e20d7
40.0,Eunan O'Kane,,,,,631e8396-8d1f-466e-aedd-2462503321f2
41.0,Shaun MacDonald,,,,,90339307-459f-4a44-a3db-fdb50b05ac60
42.0,Junior Stanislas,42.0,36.0,77.0,77.0,f0c75f4b-516b-47e6-bf5b-1416c197a166
43.0,Dan Gosling,43.0,37.0,81.0,81.0,4c72a258-589c-466a-8d14-781a8a5ee523
44.0,Max Gradel,44.0,,,,3b65e271-036a-412b-8ec4-e4b72b8fa0d4
45.0,Emerson Hyndman,584.0,41.0,,,97876a87-edf7-426e-8797-989fce5534f4
46.0,Jordon Ibe,45.0,38.0,78.0,78.0,219c2da9-2c71-45e1-9a6d-bfed1a2f3a6f
